//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile agressivenessType
138 - 340 1010 1012 1013 4 1 60 30 MELEE -1 -1 PASSIVE
//
139 - 340 1010 1012 1013 4 1 60 30 MELEE -1 -1 PASSIVE
//
140 - 240 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
141 - 740 6559 6557 6558 4 1 60 74 MELEE -1 -1 AGRESSIVE
//
142 - 350 6559 6557 6558 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
143 - 690 6559 6557 6558 4 1 60 69 MELEE -1 -1 AGRESSIVE
//
144 - 300 6254 6255 6256 5 1 60 40 MELEE -1 -1 AGRESSIVE
//
145 - 590 -1 -1 -1 5 1 60 61 MELEE -1 -1 AGRESSIVE
//
158 - 670 -1 -1 -1 5 1 60 65 MELEE -1 -1 AGRESSIVE
//Ravangers
163 - 220 192 193 196 4 1 60 50 MELEE -1 -1 PASSIVE
//
164 - 220 192 193 196 4 1 60 50 MELEE -1 -1 PASSIVE
//
168 - 20 191 193 196 4 1 60 10 MELEE -1 -1 PASSIVE
//
169 - 20 191 193 196 4 1 60 10 MELEE -1 -1 PASSIVE
//
170 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Spinners
172 - 250 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//
173 - 240 -1 -1 -1 5 1 60 30 MELEE -1 -1 PASSIVE
//
174 - 120 -1 -1 -1 4 1 60 20 MAGE -1 -1 AGRESSIVE
//
175 - 80 -1 -1 -1 4 1 60 14 MELEE -1 -1 AGRESSIVE
//
178 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//Torchers
179 - 420 390 388 836 6 1 60 47 MELEE -1 -1 AGRESSIVE
//
180 - 130 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
181 - 200 7182 425 836 4 1 60 30 MELEE -1 -1 AGRESSIVE
//
182 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
183 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
184 - 230 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
187 - 170 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
188 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
189 - 100 422 424 836 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
190 - 400 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Defilers
193 - 400 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
201 - 470 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
202 - 370 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
203 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
204 - 370 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
205 - 700 -1 -1 -1 4 1 60 74 MELEE -1 -1 AGRESSIVE
//
221 - 1420 -1 -1 -1 4 1 60 150 MELEE -1 -1 AGRESSIVE
//
222 - 90 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//
224 - 120 -1 -1 -1 5 1 60 20 MELEE -1 -1 AGRESSIVE
//
237 - 490 -1 -1 -1 4 1 60 75 MELEE -1 -1 AGRESSIVE
//Brawlers
238 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
247 - 500 -1 -1 -1 4 1 60 57 MELEE -1 -1 AGRESSIVE
//
255 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
256 - 220 -1 -1 -1 6 1 60 30 MELEE -1 -1 PASSIVE
//
269 - 1160 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//Flesh-Spoiler Haasghenahk lvl 79
274 - 500 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 275
277 - 590 -1 -1 -1 4 1 60 80 MAGE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 334
281 - 70 422 425 836 5 1 60 10 MELEE -1 -1 PASSIVE
//Flesh-Spoiler spawn lvl 45
282 - 160 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Flesh-Spoiler spawn lvl 94
296 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Flesh-Spoiler spawn lvl 113
297 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 84 (boss)
298 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 249 (boss)
299 - 220 -1 -1 -1 5 1 60 34 MELEE -1 -1 PASSIVE
//Flesh-Spoiler Haasghenahk lvl 348 (challenging boss)
374 - 700 8577 8578 8576 7 1 60 73 MELEE -1 -1 PASSIVE
//Runebound behemoth lvl 500 (Strong Boss, strong melee defence)
397 - 107 245 150 244 6 1 60 15 MELEE -1 -1 PASSIVE
//Kal'Ger the Warmonger lvl 792 (Powerhouse boss, nearly unstoppable)
412 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//Pest Queen - 599
444 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Blink
445 - 64 6184 6183 6182 5 1 60 16 MELEE -1 -1 PASSIVE
//Grotworms
446 - 50 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//Young Grotworm - 10
447 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//Grotworm - 91
448 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//cutscene grotworm
449 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//Ganodermic runts
459 - 180 -1 -1 -1 4 1 60 30 MAGE -1 -1 AGRESSIVE
//
475 - 220 -1 -1 -1 6 1 60 33 MELEE -1 -1 PASSIVE
//Ganodermic Beasts
477 - 1690 -1 -1 -1 5 1 60 92 MELEE -1 -1 AGRESSIVE
//
491 - 200 -1 -1 -1 5 1 60 27 MELEE -1 -1 AGRESSIVE
//Trolls
493 - 70 -1 -1 -1 4 1 60 50 MELEE -1 -1 PASSIVE
//
502 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
504 - 470 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
505 - 600 -1 -1 -1 1 1 60 77 MELEE -1 -1 AGRESSIVE
//
507 - 1000 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
508 - 750 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
509 - 1100 -1 -1 -1 4 1 60 90 MELEE -1 -1 AGRESSIVE
//
609 - 220 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
645 - 80 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
655 - 850 5532 5533 5534 5 1 5 60 MELEE -1 -1 PASSIVE
//
667 - 600 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//
677 - 1570 -1 -1 -1 5 1 60 167 MELEE -1 -1 AGRESSIVE
//
688 - 300 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
689 - 500 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
690 - 700 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
691 - 900 -1 -1 -1 4 1 60 160 RANGE -1 -1 AGRESSIVE
//
708 - 80 169 170 172 4 1 60 10 MELEE -1 -1 PASSIVE
//
709 - 100 169 170 172 4 1 60 10 MELEE -1 -1 PASSIVE
//
742 - 5000 12252 12251 12250 5 1 60 100 SPECIAL2 -1 -1 AGRESSIVE
//Thrower Troll - 67
745 - 900 8965 8966 8967 6 1 60 170 MELEE -1 -1 PASSIVE
//
749 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
750 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
751 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//
752 - 1900 -1 -1 -1 4 1 60 188 MELEE -1 -1 AGRESSIVE
//Mountain troll - 69
753 - 440 -1 -1 -1 4 1 60 50 MELEE -1 -1 AGRESSIVE
//
767 - 880 -1 -1 -1 4 1 60 120 MAGE -1 -1 AGRESSIVE
//
795 - 1050 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
799 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
827 - 180 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
837 - 320 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//
839 - 340 6559 6557 6558 4 1 60 44 MELEE -1 -1 AGRESSIVE
//Troll general - 113
840 - 460 -1 -1 -1 5 1 60 40 MELEE -1 -1 AGRESSIVE
//
842 - 400 -1 -1 -1 4 1 60 60 MELEE -1 -1 AGRESSIVE
//
852 - 600 -1 -1 -1 5 1 60 90 MELEE -1 -1 PASSIVE
//Crawling Hand
856 - 810 -1 -1 -1 4 1 60 70 MELEE -1 -1 PASSIVE
//TokHaar-Hur
870 - 800 -1 -1 -1 4 1 60 100 MELEE -1 -1 PASSIVE
//
878 - 710 -1 -1 -1 5 1 60 40 MELEE -1 -1 PASSIVE
//
879 - 70 64 65 67 4 4 60 30 MELEE -1 -1 PASSIVE
//
893 - 250 -1 -1 -1 4 1 60 200 MELEE -1 -1 PASSIVE
//
894 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
912 - 1000 811 425 836 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
913 - 1000 811 425 836 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
914 - 1000 200 194 196 4 1 60 200 MAGE -1 -1 AGRESSIVE
//
917 - 320 -1 -1 -1 4 1 60 39 MELEE -1 -1 PASSIVE
//
931 - 900 -1 -1 -1 4 1 60 140 MELEE -1 -1 AGRESSIVE
//Mutated jadinko baby - 90
934 - 1500 -1 -1 -1 4 1 60 180 MELEE -1 -1 AGRESSIVE
//Mutated jadinko guard - 145
938 - 1300 -1 -1 -1 4 1 60 230 MELEE -1 -1 AGRESSIVE
//Mutated jadinko male - 201
941 - 750 12252 12251 12250 5 1 60 85 SPECIAL2 -1 -1 AGRESSIVE
//Wildy Stryke
950 - 50 5327 5328 5329 5 1 60 17 MELEE -1 -1 AGRESSIVE
//
988 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//TokHaar-Ket-Dill
989 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//TokHaar-Ket-Dill (after armour broken by pickaxe)
990 - 570 -1 -1 -1 4 1 60 80 MELEE -1 -1 PASSIVE
//Har-Aken (Ranged Tentacle)
997 - 910 -1 -1 -1 4 1 60 160 MELEE -1 -1 AGRESSIVE
//Har-Aken (Magic Tentacle)
998 - 20000 64 65 67 4 3 -1 200 RANGE -1 -1 AGRESSIVE
//jads jad, TokHaar-Jad
999 - 20000 64 65 67 4 3 -1 300 MELEE -1 -1 PASSIVE
//14416 - 1 16204 16201 16188 5 4 1 550 SPECIAL -1 -1 AGRESSIVE
1000 - 20000 64 65 67 4 3 -1 190 MAGE -1 -1 AGRESSIVE
//Bork
1002 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//
1004 - 20 -1 -1 -1 4 1 60 15 MELEE -1 -1 AGRESSIVE
//Summoning 17 out of 74 so far
1007 - 730 -1 -1 -1 5 1 60 200 MAGE -1 -1 AGRESSIVE
//Barricade
1009 - 640 5327 5328 5329 5 2 60 72 MELEE -1 -1 AGRESSIVE
//
1017 - 30 5387 5388 5389 5 1 60 15 MELEE -1 -1 PASSIVE
//War tortoise
1018 - 70 -1 -1 -1 4 1 60 15 MELEE -1 -1 PASSIVE
//
1019 - 300 -1 -1 -1 4 1 60 60 MELEE -1 -1 PASSIVE
//Void spinner
1020 - 350 -1 -1 -1 7 1 60 49 MELEE -1 -1 AGRESSIVE
//
1021 - 300 -1 -1 -1 4 1 60 30 MELEE -1 -1 PASSIVE
//PackYak
1022 - 300 -1 -1 -1 4 1 60 40 MELEE -1 -1 PASSIVE
//
1044 - 200 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Wolptinger
1045 - 100 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//
1046 - 250 -1 -1 -1 4 1 60 20 MELEE -1 -1 AGRESSIVE
//Unicorn Stallion
1053 - 450 -1 -1 -1 5 1 60 30 MELEE -1 -1 AGRESSIVE
//
1085 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//Spirit Wolf
1087 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
1088 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//DreadFowl
1089 - 100 -1 -1 -1 4 1 60 10 MELEE -1 -1 PASSIVE
//
1092 - 530 -1 -1 -1 8 1 60 60 MELEE -1 -1 PASSIVE
//Spirit Spider
1095 - 1400 13788 13789 13785 7 1 60 300 MELEE -1 -1 AGRESSIVE
//
1096 - 1400 13788 13789 13785 7 1 60 300 MELEE -1 -1 AGRESSIVE
//Thorny Snail
1097 - 1260 13790 13787 13785 4 1 60 250 MELEE -1 -1 PASSIVE
//
1098 - 1200 13788 13792 13785 6 1 60 233 MELEE -1 -1 AGRESSIVE
//Spirit Mosquito
1101 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//
1102 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//Granit Crab
1103 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//
1104 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//Desert Wyrm
1105 - 950 2134 13787 13785 4 2 60 90 RANGE -1 -1 AGRESSIVE
//
1106 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//Spirit Scorpian
1107 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1108 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//Spriit Tz-keh
1109 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1110 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//Albino Rat
1111 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//
1112 - 900 2125 13787 13785 6 2 60 121 MELEE -1 -1 AGRESSIVE
//Spirit Kalphite
1115 - 1500 13791 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//
1116 - 1500 13791 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//Bunyip
1117 - 1500 1938 13787 13785 5 2 60 386 MELEE -1 -1 AGRESSIVE
//
1118 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//Abbysal Titan
1119 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1120 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//Lava Titan
1121 - 900 -13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1122 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//Geyser Titan
1123 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//
1124 - 900 13788 13792 13785 4 1 60 134 MELEE -1 -1 PASSIVE
//Fire Titan
1125 - 1200 1158 13792 13785 4 1 60 280 MELEE -1 -1 PASSIVE
//
1127 - 900 -1 -1 -1 4 1 60 120 MELEE -1 -1 PASSIVE
//Ice Titan
1129 - 900 -1 -1 -1 4 1 60 120 MELEE -1 -1 PASSIVE
//
1138 - 910 -1 -1 -1 6 1 60 121 MELEE -1 -1 AGRESSIVE
//Moss Titan 
1153 - 400 6223 6227 6228 5 1 60 34 MELEE -1 -1 PASSIVE
//
1154 - 900 6223 6227 6229 4 1 60 80 MELEE -1 -1 AGRESSIVE
//Swamp Titan
1155 - 1240 6224 6227 -1 4 1 60 124 MELEE -1 -1 AGRESSIVE
//
1156 - 400 6223 6227 6228 5 1 60 34 MELEE -1 -1 PASSIVE
//Iron Titan
1157 - 1240 6224 6232 -1 4 1 60 124 MELEE -1 -1 AGRESSIVE
//
1158 - 2550 6241 6232 6242 5 2 -1 314 SPECIAL -1 -1 AGRESSIVE
//Spirit Terror Bird
1160 - 2550 24279 6237 24277 5 4 60 314 SPECIAL -1 -1 AGRESSIVE
//
1172 - 1000 -1 -1 -1 5 1 60 94 MELEE -1 -1 AGRESSIVE
//Lucien custom boss
1183 - 1060 426 424 836 4 1 60 120 RANGE 24 24 PASSIVE
//
1184 - 1060 428 424 836 4 1 60 120 MELEE -1 -1 PASSIVE
//
1192 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//DT Bouncer
1193 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//DT Black Knight Titan 
1194 - 50 -1 -1 -1 4 1 60 20 MELEE -1 -1 PASSIVE
//Evil Chicken
1195 - 350 -1 -1 -1 4 1 60 30 MELEE -1 -1 AGRESSIVE
// Elvarg
1196 - 350 -1 -1 -1 4 1 60 29 MELEE -1 -1 PASSIVE
//DT Elvarg
1197 - 350 -1 -1 -1 4 1 60 29 MELEE -1 -1 PASSIVE
//Astea Frostweb
1200 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1203 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1204 - 1120 -1 -1 -1 6 1 60 157 MELEE -1 -1 AGRESSIVE
//
1218 - 500 422 424 836 5 1 60 70 MELEE -1 -1 AGRESSIVE
//
1219 - 450 1273 1271 1272 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1220 - 790 6016 -1 6031 5 2 60 90 MELEE -1 -1 AGRESSIVE
//
1223 - 490 6016 -1 6031 5 2 60 70 MELEE -1 -1 AGRESSIVE
//
1227 - 80 -1 -1 -1 4 1 60 20 RANGE -1 -1 PASSIVE
//
1230 - 120 -1 -1 -1 4 1 60 40 RANGE -1 -1 PASSIVE
//
1232 - 90 -1 -1 -1 4 1 60 20 RANGE -1 -1 PASSIVE
//
1233 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
//
1234 - 4760 7834 7832 7833 5 4 0 152 SPECIAL -1 -1 PASSIVE
//
1235 - 120 -1 -1 -1 4 1 60 40 RANGE -1 -1 PASSIVE
//
1240 - 380 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1241 - 380 -1 -1 -1 4 1 60 40 MELEE -1 -1 AGRESSIVE
//
1243 - 560 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1244 - 560 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
1245 - 740 -1 -1 -1 4 1 60 70 MELEE -1 -1 AGRESSIVE
//
